latitude	longitude
55.3455	36.2517
55.3494	36.2504
55.4182	36.2274
55.4375	36.2227
55.4909	36.209
55.5205	36.2041
55.5636	36.1964
55.5992	36.1934
55.6364	36.1898
55.674	36.1896
55.7091	36.1891
55.7455	36.1918
55.7818	36.1944
55.8141	36.1993
55.8545	36.2056
55.8801	36.2114
55.9273	36.2228
55.9438	36.2278
56	36.246
56.0053	36.248
56.0291	36.2576
56.0648	36.272
56.0727	36.2754
56.1224	36.2993
56.1455	36.3111
56.1784	36.3295
56.2182	36.353
56.2329	36.3623
56.2726	36.3889
56.286	36.3978
56.2909	36.4013
56.3375	36.4361
56.3636	36.4566
56.3878	36.4765
56.4364	36.5184
56.437	36.519
56.4383	36.5202
56.4848	36.5641
56.5091	36.588
56.5316	36.6109
56.5697	36.6515
56.5773	36.6597
56.5818	36.6647
56.6218	36.7107
56.6545	36.7499
56.6654	36.7632
56.6808	36.7828
56.7079	36.8178
56.7273	36.8438
56.7494	36.8742
56.7775	36.9141
56.79	36.9321
56.8	36.947
56.8295	36.9921
56.8633	37.0455
56.8683	37.0535
56.8727	37.0608
56.9058	37.117
56.9399	37.1768
56.9427	37.1817
56.9455	37.1868
56.9783	37.2487
57.0087	37.3081
57.0132	37.317
57.0182	37.3272
57.0469	37.3875
57.0708	37.4394
57.0798	37.4594
57.0909	37.485
57.1116	37.5333
57.1269	37.5707
57.1424	37.6091
57.1636	37.6642
57.1722	37.6866
57.1778	37.702
57.2007	37.7664
57.2235	37.8333
57.2283	37.8479
57.2364	37.8734
57.2546	37.9317
57.2644	37.9646
57.2797	38.0177
57.3011	38.096
57.3037	38.1058
57.3091	38.1276
57.3261	38.1965
57.3334	38.2273
57.3472	38.2898
57.3617	38.3586
57.3669	38.3855
57.3818	38.4664
57.3851	38.484
57.3861	38.4899
57.4013	38.586
57.4066	38.6212
57.4158	38.6911
57.4236	38.7525
57.4284	38.7996
57.4369	38.8838
57.439	38.9119
57.4467	39.0152
57.4473	39.0282
57.4531	39.1465
57.4531	39.149
57.4545	39.2109
57.456	39.2752
57.4561	39.2778
57.4557	39.4071
57.4557	39.4091
57.4545	39.449
57.4519	39.5404
57.4516	39.5457
57.4449	39.6717
57.4431	39.6923
57.4345	39.803
57.4296	39.8481
57.4209	39.9343
57.4103	40.0142
57.404	40.0657
57.3845	40.1921
57.3838	40.197
57.3818	40.2085
57.36	40.3283
57.3467	40.3916
57.333	40.4596
57.3091	40.5638
57.3026	40.5909
57.2965	40.6137
57.2682	40.7222
57.2364	40.8343
57.2306	40.8535
57.2225	40.8785
57.1887	40.9848
57.1636	41.0588
57.143	41.1162
57.0986	41.2336
57.0934	41.2475
57.0909	41.2538
57.0387	41.3788
57.0182	41.4262
56.9795	41.5101
56.9455	41.5816
56.9152	41.6414
56.8727	41.7231
56.8453	41.7727
56.8	41.8528
56.7691	41.904
56.7273	41.9723
56.6861	42.0354
56.6545	42.0829
56.5954	42.1667
56.5818	42.1856
56.5435	42.2359
56.5091	42.281
56.4953	42.298
56.4364	42.3697
56.3841	42.4293
56.3636	42.4525
56.3325	42.4855
56.2909	42.5295
56.2595	42.5606
56.2182	42.6012
56.1723	42.6435
56.1455	42.668
56.1175	42.6919
56.0727	42.73
56.0351	42.7599
56	42.7875
55.9511	42.8232
55.9273	42.8406
55.9118	42.8511
55.8545	42.8895
55.7986	42.9242
55.7818	42.9344
55.7461	42.9545
55.7091	42.9754
55.6929	42.9838
55.6364	43.0123
55.5933	43.0324
55.5636	43.0457
55.4983	43.0725
55.4909	43.0754
55.4614	43.0859
55.4182	43.1012
55.4078	43.1045
55.3455	43.1233
55.3211	43.1299
55.2727	43.1418
55.2375	43.1494
55.2	43.1566
55.1569	43.1637
55.1273	43.1678
55.0789	43.1731
55.0545	43.1751
55.0035	43.178
54.9818	43.1786
54.9304	43.1788
54.9091	43.1781
54.8594	43.1755
54.8364	43.1735
54.7906	43.1685
54.7636	43.1646
54.7237	43.158
54.6909	43.1512
54.6587	43.144
54.6182	43.133
54.5956	43.1266
54.5455	43.11
54.5342	43.1061
54.4833	43.0859
54.4746	43.0824
54.4727	43.0815
54.4169	43.0554
