X0	Y0
-0.228457	-3.23986
-0.227019	-3.24015
-0.204409	-3.24468
-0.198126	-3.24581
-0.180361	-3.24889
-0.170102	-3.25045
-0.156313	-3.25246
-0.142882	-3.25415
-0.132265	-3.25541
-0.11641	-3.25697
-0.108216	-3.25773
-0.0906338	-3.25899
-0.0841683	-3.25941
-0.0655097	-3.26025
-0.0601202	-3.26045
-0.0409971	-3.26079
-0.0360721	-3.26083
-0.0170595	-3.26066
-0.012024	-3.26057
0.00633547	-3.2599
0.012024	-3.25964
0.0292173	-3.25854
0.0360721	-3.25803
0.0516126	-3.25661
0.0601202	-3.25574
0.0735455	-3.25414
0.0841683	-3.25276
0.0950379	-3.25116
0.108216	-3.24907
0.11611	-3.24769
0.132265	-3.24466
0.136779	-3.24374
0.156313	-3.23953
0.157064	-3.23935
0.160641	-3.23848
0.17695	-3.2345
0.180361	-3.23362
0.196474	-3.22922
0.204409	-3.22694
0.215655	-3.22354
0.228457	-3.21949
0.234505	-3.21748
0.252505	-3.21123
0.253036	-3.21104
0.254679	-3.21042
0.27122	-3.2042
0.276553	-3.20211
0.289102	-3.19701
0.300601	-3.19214
0.306694	-3.18947
0.322334	-3.18236
0.324002	-3.18161
0.324649	-3.1813
0.340994	-3.17338
0.348697	-3.1695
0.357721	-3.16484
0.372745	-3.15679
0.374192	-3.156
0.377159	-3.15431
0.39037	-3.14681
0.396794	-3.14304
0.406294	-3.13734
0.420842	-3.1283
0.421981	-3.12758
0.424011	-3.12625
0.437389	-3.1175
0.44489	-3.11243
0.452562	-3.10715
0.465154	-3.0982
0.467506	-3.09653
0.468938	-3.09548
0.482184	-3.08559
0.492986	-3.07728
0.49665	-3.07442
0.501953	-3.07014
0.510872	-3.06295
0.517034	-3.05783
0.524867	-3.05122
0.535383	-3.04208
0.538648	-3.03924
0.541082	-3.03706
0.552185	-3.02698
0.56513	-3.01488
0.565532	-3.0145
0.566012	-3.01403
0.578624	-3.00171
0.589178	-2.99111
0.591531	-2.98872
0.594155	-2.98597
0.604199	-2.97544
0.613226	-2.9657
0.616675	-2.96194
0.620264	-2.95792
0.628923	-2.94817
0.637275	-2.93851
0.640978	-2.93418
0.644574	-2.92986
0.652807	-2.91992
0.661323	-2.90936
0.664447	-2.90545
0.667281	-2.9018
0.675859	-2.89071
0.685371	-2.87806
0.687092	-2.87576
0.68855	-2.87375
0.698086	-2.86053
0.708502	-2.84569
0.708913	-2.8451
0.709419	-2.84436
0.719493	-2.82939
0.727194	-2.81764
0.729899	-2.81347
0.733467	-2.80783
0.74008	-2.79729
0.744798	-2.78958
0.750062	-2.78088
0.757515	-2.76824
0.759851	-2.76425
0.761405	-2.76152
0.769403	-2.74734
0.777018	-2.73347
0.778779	-2.73022
0.781563	-2.72494
0.78792	-2.71283
0.79171	-2.70541
0.796855	-2.6952
0.80561	-2.67735
0.80561	-2.67735
0.805611	-2.67735
0.814096	-2.6592
0.818606	-2.6493
0.822396	-2.64082
0.829659	-2.62416
0.830498	-2.62222
0.830912	-2.62124
0.838331	-2.6033
0.842411	-2.59319
0.845968	-2.58416
0.853275	-2.56513
0.853407	-2.56478
0.853707	-2.56396
0.86056	-2.54507
0.863388	-2.53707
0.867501	-2.52511
0.872894	-2.50902
0.87423	-2.50491
0.877756	-2.49377
0.880704	-2.4844
0.88176	-2.48096
0.886909	-2.46358
0.889993	-2.45291
0.892884	-2.4425
0.897664	-2.42485
0.898625	-2.42114
0.901804	-2.40857
0.904091	-2.39946
0.904745	-2.39679
0.909261	-2.37744
0.911239	-2.36874
0.914173	-2.35511
0.917201	-2.34068
0.91882	-2.33248
0.922636	-2.31263
0.923193	-2.30952
0.925852	-2.2943
0.927257	-2.28621
0.927534	-2.28457
0.93098	-2.2625
0.931889	-2.25651
0.934397	-2.23843
0.935741	-2.22846
0.937496	-2.21399
0.939095	-2.2004
0.940262	-2.18916
0.941954	-2.17234
0.942682	-2.16392
0.944323	-2.14429
0.944738	-2.13827
0.946204	-2.11623
0.946414	-2.11217
0.947602	-2.08818
0.94769	-2.0856
0.948517	-2.06012
0.948544	-2.05854
0.948954	-2.03206
0.948953	-2.03096
0.948913	-2.00401
0.948892	-2.00283
0.948396	-1.97595
0.948332	-1.97412
0.947404	-1.9479
0.947243	-1.9448
0.945938	-1.91984
0.94559	-1.91481
0.943998	-1.89178
0.943339	-1.88413
0.941584	-1.86373
0.940447	-1.8527
0.938697	-1.83567
