latitude	longitude
55.3455	36.8949
55.3605	36.887
55.4182	36.8545
55.461	36.8368
55.4909	36.8234
55.5508	36.806
55.5636	36.8018
55.6321	36.7906
55.6364	36.7898
55.7067	36.7872
55.7091	36.7871
55.7762	36.793
55.7818	36.7936
55.8416	36.8062
55.8545	36.8093
55.9038	36.8253
55.9273	36.8339
55.9631	36.8494
56	36.8672
56.02	36.8779
56.0727	36.9088
56.0749	36.9102
56.0808	36.9141
56.1276	36.9464
56.1455	36.9598
56.1786	36.9857
56.2182	37.0187
56.2282	37.0274
56.248	37.0455
56.2762	37.072
56.2909	37.0865
56.3228	37.1191
56.3636	37.1625
56.3686	37.1679
56.3763	37.1768
56.4126	37.2196
56.4364	37.2483
56.4559	37.2728
56.4833	37.3081
56.4981	37.328
56.5091	37.3429
56.539	37.3854
56.5765	37.4394
56.5794	37.4438
56.5818	37.4474
56.6181	37.5051
56.6545	37.5636
56.6566	37.567
56.6587	37.5707
56.6933	37.6321
56.7273	37.693
56.7297	37.6976
56.732	37.702
56.7644	37.7662
56.7978	37.8333
56.7988	37.8355
56.8	37.838
56.8314	37.9079
56.8562	37.9646
56.8634	37.9815
56.8727	38.0043
56.8939	38.0578
56.9084	38.096
56.9232	38.1361
56.9455	38.1994
56.9514	38.2166
56.9548	38.2273
56.9777	38.3003
56.9948	38.3586
57.0027	38.3865
57.0182	38.4454
57.026	38.4758
57.0294	38.4899
57.0472	38.5689
57.058	38.6212
57.0663	38.6656
57.0811	38.7525
57.0832	38.7665
57.0909	38.8253
57.0972	38.8726
57.0985	38.8838
57.1077	38.9848
57.1103	39.0152
57.1146	39.1037
57.1166	39.1465
57.117	39.2306
57.1175	39.2778
57.1141	39.3671
57.113	39.4091
57.1048	39.5154
57.1031	39.5404
57.0909	39.6481
57.0881	39.6717
57.0868	39.6791
57.0675	39.803
57.0541	39.8696
57.0418	39.9343
57.0182	40.0372
57.0111	40.0657
57.0035	40.0922
56.9744	40.197
56.9455	40.2907
56.9327	40.3283
56.9081	40.3958
56.8851	40.4596
56.8727	40.4917
56.8309	40.5909
56.8	40.6611
56.7705	40.7222
56.7273	40.8087
56.7028	40.8535
56.6545	40.9396
56.6268	40.9848
56.5818	41.0568
56.5413	41.1162
56.5091	41.1627
56.445	41.2475
56.4364	41.2587
56.4178	41.281
56.3636	41.3458
56.3334	41.3788
56.2909	41.4249
56.2344	41.4809
56.2182	41.4968
56.2033	41.5101
56.1455	41.5616
56.0937	41.6036
56.0727	41.6203
56.0435	41.6414
56	41.6727
55.9729	41.6904
55.9273	41.7193
55.8644	41.7549
55.8545	41.7603
55.829	41.7727
55.7818	41.7956
55.7652	41.8027
55.7091	41.8254
55.6729	41.8381
55.6364	41.8498
55.5861	41.8635
55.5636	41.8689
55.504	41.8804
55.4909	41.8824
55.4261	41.8898
55.4182	41.8904
55.3518	41.8925
55.3455	41.8925
55.2809	41.8893
55.2727	41.8885
55.213	41.8806
55.2	41.8782
55.1479	41.8669
55.1273	41.8612
55.0854	41.8484
55.0545	41.8371
55.0253	41.8255
54.9818	41.8054
54.9676	41.7984
54.922	41.7727
54.9122	41.7672
54.9091	41.7652
54.8591	41.7317
54.8364	41.7145
54.8081	41.6925
54.7636	41.6537
54.7591	41.6496
54.7509	41.6414
54.7123	41.6028
54.6909	41.5789
54.6675	41.5523
54.634	41.5101
54.6247	41.4983
54.6182	41.4891
54.584	41.4405
54.5455	41.3795
54.5452	41.3792
54.545	41.3788
54.5086	41.314
54.4749	41.2475
54.4739	41.2454
54.4727	41.2429
54.4413	41.1729
54.4184	41.1162
54.4107	41.0969
54.4	41.0668
54.3822	41.0169
54.372	40.9848
54.3559	40.9331
54.3339	40.8535
54.3317	40.8455
54.3273	40.8269
54.3098	40.7537
54.3032	40.7222
54.2902	40.6578
54.2785	40.5909
54.273	40.5576
54.259	40.4596
54.2582	40.453
54.2545	40.4203
54.246	40.3436
54.2447	40.3283
54.2367	40.2292
54.2347	40.197
54.2303	40.1095
54.2288	40.0657
54.227	39.9841
54.2266	39.9343
54.2271	39.8526
54.2281	39.803
54.231	39.7142
54.233	39.6717
54.2392	39.5682
54.2411	39.5404
54.2521	39.4135
54.2525	39.4091
54.2545	39.391
54.2672	39.2778
54.2711	39.248
54.2851	39.1465
54.297	39.0698
54.306	39.0152
54.3273	38.8985
54.3299	38.8838
54.3315	38.8762
54.3574	38.7525
54.379	38.6592
54.388	38.6212
54.4	38.575
54.4221	38.4899
54.4455	38.4077
54.4597	38.3586
54.4727	38.3175
54.5013	38.2273
54.5455	38.0997
54.5468	38.096
54.5496	38.0884
54.5969	37.9646
54.6182	37.9137
54.6519	37.8333
54.6909	37.7486
54.7125	37.702
54.7636	37.6018
54.7797	37.5707
54.8364	37.4711
54.8548	37.4394
54.9091	37.3545
54.9399	37.3081
54.9818	37.2505
55.0384	37.1768
55.0545	37.1576
55.0817	37.1277
55.1273	37.0766
55.1578	37.0455
55.2	37.006
55.2399	36.9735
55.2727	36.9455
55.3166	36.9141
55.3455	36.8949
